keyword,volume,kd,competition,cpc,intent,llm_score,cluster,cluster_size,source
what is dbt,14800,71.0,0.17,0.5,1,0.7725,dbt,3,questions_dbt.csv
is dbt an etl tool,50,9.0,0.04,0.0,1,0.7282,dbt etl,1,questions_dbt.csv
how to use streamlit,110,30.0,0.09,1.51,1,0.7265,streamlit use,1,related_snowflake_credits.csv
is dbt free,110,11.0,0.12,8.19,1,0.724,dbt free,1,questions_dbt.csv
what is ro dbt,140,12.0,0.07,2.0,1,0.7219,dbt ro,1,questions_dbt.csv
is snowflake a data warehouse,320,15.0,0.01,0.0,1,0.7168,data warehouse,40,broad_snowflake_warehouse.csv
how to install dbt,50,15.0,0.15,11.6,1,0.7132,dbt install,1,questions_dbt.csv
what is a dbt model,70,16.0,0.03,1.36,1,0.7109,dbt model,1,questions_dbt.csv
what is data mart,320,38.0,0.06,1.06,1,0.7093,data mart,4,related_snowflake_warehouse.csv
is dbt open source,110,17.0,0.05,7.06,"1,0",0.709,dbt open,1,questions_dbt.csv
what skill dbt,260,21.0,0.0,0.0,1,0.701,dbt skill,1,questions_dbt.csv
how skills dbt,140,21.0,0.15,0.0,1,0.6994,dbt skills,2,questions_dbt.csv
what and how skills dbt,140,21.0,0.27,1.59,1,0.6994,dbt skills,2,questions_dbt.csv
what is snowflake data warehouse,50,42.0,0.19,2.06,1,0.6957,data warehouse,40,broad_snowflake_warehouse.csv
how to do a chain analysis dbt,50,22.0,0.14,0.0,1,0.6957,chain do,1,questions_dbt.csv
how mwaa works with dbt,320,25.0,0.0,0.0,1,0.6918,mwaa works,1,questions_dbt.csv
what is snowflake used for,480,26.0,0.1,1.58,1,0.6915,used,1,related_snowflake_architecture_2026-06-18.csv
what is radical acceptance in dbt,90,25.0,0.0,0.0,1,0.6887,acceptance radical,1,questions_dbt.csv
what is dbt fusion,70,25.0,0.0,0.0,1,0.6884,dbt fusion,1,questions_dbt.csv
what is the difference between cbt and dbt,70,25.0,0.0,0.0,1,0.6884,between difference,2,questions_dbt.csv
what is dbt therapy,8100,69.0,0.27,0.49,1,0.687,dbt therapy,1,questions_dbt.csv
what is dbt in data engineering,1000,33.0,0.2,2.2,1,0.681,data dbt,5,questions_dbt.csv
what is dbt core,70,28.0,0.08,0.0,1,0.6809,core dbt,1,questions_dbt.csv
what is dbt in data,170,29.0,0.06,2.15,1,0.6798,data dbt,5,questions_dbt.csv
what is dbt cloud,90,30.0,0.07,3.57,1,0.6762,cloud dbt,1,questions_dbt.csv
what is dbt tool,140,34.0,0.11,2.55,1,0.6669,dbt tool,1,questions_dbt.csv
